,num,title
2,1775840,아직도 롱안탄 흑우가 있냐? 이더 2600 찍으면 오늘 하락 훼이크야
8,1775847,루나 시발 미쳤냐?
11,1775850,루나같이 길고 굵게 존나게 오를 코인 알려줌
16,1775855,위믹스 버리고 코스모스탔다 
26,1775870,카이버 미친새끼 비트오르는데 안따라가고뭐해
29,1775874,코스모스 루나 커플링이구나 ㅇㅇ
34,1775880,존나짜증난다진짜 비트씨팔년아
46,1775898,이클 조용히 쏜다!!!
50,1775903,위믹스 처절하노 ㅋㅋ 빠진거도복구못할텐데 ㅋㅋ
59,1775914,고급정보준다 느금마루나 숏청산반등끝낫다 숏처라
64,1775921,이클 쏜다니까 ㅋㅋㅋ
74,1775933,이클 매도벽도 없다
80,1775940,위믹스 개 병신새끼들아
84,1775944,이더 개푸근하다 ㅇㅈ????
95,1775958,위믹스 반등못하네 ㅋㅋ호재가아니라 악재구만 ㅋㅋ
97,1775960,솔라나 개쏜다 ㅋㅋ
99,1775962,이클 진짜 쏜다니까;;
107,1775971,체인링크 가치투자 간다
111,1775978,작년에 이클 전설 알재? ㅋㅋ
112,1775979,위믹스 또 파네 ㅋㅋㅋㅋ
119,1775987,이더리움 파격상승 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
122,1775990,이더 2635달러 미쳤냐 ㅋㅋㅋ 어제도 잘 못가던 가격인데
127,1775998,카이버 오늘 쏘는거 확정
134,1776009,위믹스 사지마라 절대
156,1776038,이더리움 관점 하나알려주고간다
167,1776051,이더리움이 이렇게 잘 오르는 코인이었냐?
171,1776055,위믹스 매수 절대 금지
179,1776067,위믹스 탈빠엔 보라타라
183,1776073,위믹스 풀매도ㄱㄱㄱㄱ
198,1776092,못탄 호구들 매수타점 알려준다 이더 내려가서 2600 비빌때 타라
200,1776094,진짜 카이버 빨리 사라
204,1776101,루나 뭐야 ㅅㅂ
205,1776103,도지 가즈아
210,1776109,위믹스충들 정신좀 드냐 ??
213,1776114,플로우사라
217,1776119,루나 패드립 사과했나보네요 ㄷㄷㄷㄷ
223,1776130,위믹스 끝난거같다
229,1776141,위믹스 관망충들 봐라 !! 고점물린애들도 봐라!!
235,1776150,나 방금 차트분석 비트코인 ㅇㅇ
237,1776152,도지
238,1776156,너네는 카이버 올라가는 거 보다가 3천원 넘으면 사게될 거다
241,1776163,루나 개 시발 청산당햇네
249,1776176,전쟁이슈는 되려 비트코인에게 대박인데?
263,1776197,박도지 귀엽당
271,1776208,유니스왑 오늘 50프로 간다
272,1776209,위믹스 시체벽생김 ㅋㅋㅋ
275,1776215,리플은 가망없는코인인가요?..
280,1776223,루나 20달러 간다고 숏치라며 ㅠㅠ
287,1776234,유니스왑 빗썸호가창 봐바 
293,1776242,위믹스 또번지대 만든다 ㅋㅋㅋ
304,1776257,이더 2600 다시 안오면 안산다~
309,1776265,위믹스 들고있는애들이 제일불쌍하네 ㅋㅋ
314,1776275,위믹스 절대 사지마라
317,1776281,이오스 존나 섭섭하네 
